,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID
40922,Skagit,Bow,98232,2018,CHRYSLER,PACIFICA,33,10.0,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,PHEV,Y,Low,grgur.danicic@example.com
40927,King,Seatac,98198,2017,CHEVROLET,VOLT,53,33.0,POINT (-122.29592 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,yld.rdyy@example.com
40930,Whatcom,Blaine,98230,2019,TESLA,MODEL S,270,42.0,POINT (-122.74888 48.99404),CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,BEV,Y,High,anastasios.stockmann@example.com
40934,Lewis,Toledo,98591,2020,TESLA,MODEL 3,266,20.0,POINT (-122.84784 46.44067),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,BEV,Y,High,mestan.dogan@example.com
40941,Lewis,Centralia,98531,2022,TOYOTA,PRIUS PRIME,25,20.0,POINT (-122.95298 46.72894),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,N,Low,joseph.walker@example.com
40950,Whatcom,Blaine,98230,2011,CHEVROLET,VOLT,35,42.0,POINT (-122.74888 48.99404),CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,victor.jensen@example.com
40965,King,Seattle,98199,2011,NISSAN,LEAF,73,36.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,samuel.bernard@example.com
40969,King,Duvall,98019,2017,TESLA,MODEL X,200,45.0,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,esteban.meunier@example.com
40973,San Juan,Friday Harbor,98250,2016,BMW,X5,14,40.0,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,buse.kocoglu@example.com
40978,Snohomish,Snohomish,98290,2018,BMW,I3,97,44.0,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,PHEV,Y,Low,lillie.bruheim@example.com
40979,Pierce,Vaughn,98394,2016,TESLA,MODEL X,200,26.0,POINT (-122.76355 47.34347),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,zlotodan.gnatyuk@example.com
40993,King,Sammamish,98075,2016,SMART,FORTWO,68,41.0,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,aino.jokela@example.com
41012,Lewis,Silver Creek,98585,2015,FORD,C-MAX,19,20.0,POINT (-122.60209 46.52793),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,N,Low,norma.rico@example.com
41018,King,Renton,98058,2019,HYUNDAI,KONA,258,47.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,hsty.prs@example.com
41021,Skagit,Anacortes,98221,2015,FORD,C-MAX,19,40.0,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,PHEV,N,Low,sphr.slry@example.com
41024,Clark,Camas,98607,2014,MERCEDES-BENZ,B-CLASS,87,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,marlies.goldbach@example.com
41026,Benton,Richland,99352,2018,BMW,I3,97,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),PHEV,Y,Low,glen.price@example.com
41028,Pierce,Puyallup,98371,2021,JEEP,WRANGLER,21,25.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,marion.powell@example.com
41029,Clark,Battle Ground,98604,2022,JEEP,WRANGLER,22,18.0,POINT (-122.5331 45.78092),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,baris.akman@example.com
41035,Whatcom,Lummi Island,98262,2017,FORD,C-MAX,20,42.0,POINT (-122.68321 48.72043),PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,emily.hansen@example.com
41038,Pierce,Puyallup,98372,2018,CHRYSLER,PACIFICA,33,25.0,POINT (-122.28556 47.18709),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,rebecca.burke@example.com
41042,King,Shoreline,98133,2021,VOLVO,XC60,18,32.0,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,abigail.baez@example.com
41045,King,Seattle,98103,2022,TOYOTA,PRIUS PRIME,25,36.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ege.karaer@example.com
41049,Snohomish,Lynnwood,98036,2019,VOLKSWAGEN,E-GOLF,125,1.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,BEV,Y,Mid,maelie.lemoine@example.com
41051,King,Federal Way,98023,2019,MITSUBISHI,OUTLANDER,22,30.0,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,uli.sigl@example.com
41053,Pierce,Tacoma,98402,2017,TESLA,MODEL X,200,27.0,POINT (-122.44164 47.25517),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,lionel.bothe@example.com
41057,Pierce,South Hill,98375,2022,TOYOTA,RAV4 PRIME,42,2.0,POINT (-122.30116 47.1165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,PHEV,Y,Low,sergio.gutierrez@example.com
41058,Mason,Shelton,98584,2021,LINCOLN,AVIATOR,21,35.0,POINT (-123.10565 47.21248),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,N,Low,giovanni.jehle@example.com
41068,King,Seattle,98112,2020,HYUNDAI,IONIQ,29,43.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,herve.arnaud@example.com
41070,King,Seattle,98112,2021,BMW,I3,126,43.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Mid,anton.tuominen@example.com
41071,Skagit,La Conner,98257,2012,TOYOTA,PRIUS PLUG-IN,6,10.0,POINT (-122.49724 48.38874),PUGET SOUND ENERGY INC,PHEV,N,Low,ibrahim.fagerheim@example.com
41078,Pierce,Steilacoom,98388,2017,NISSAN,LEAF,107,28.0,POINT (-122.59802 47.17303),BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,darlene.richards@example.com
41087,Snohomish,Lynnwood,98087,2022,JEEP,WRANGLER,22,32.0,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,PHEV,N,Low,abderrahim.ras@example.com
41098,King,Des Moines,98198,2021,VOLVO,XC90,18,33.0,POINT (-122.29592 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,eren.puister@example.com
41104,Pierce,Lakebay,98349,2016,FORD,C-MAX,19,26.0,POINT (-122.75493 47.25035),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,gavrilo.vucetic@example.com
41108,King,Seattle,98126,2022,VOLVO,XC90,35,34.0,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,maria.castro@example.com
41110,Pierce,Puyallup,98371,2016,TESLA,MODEL S,210,25.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,storm.moller@example.com
41120,Pierce,Dupont,98327,2013,FORD,FOCUS,76,28.0,POINT (-122.62954 47.09583),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,kerim.topcuoglu@example.com
41125,Snohomish,Brier,98036,2017,TESLA,MODEL X,200,1.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,BEV,Y,Mid,myrmhmd.hmdy@example.com
41128,Spokane,Deer Park,99006,2018,FORD,FUSION,21,7.0,POINT (-117.47154 47.95431),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,encarnacion.vazquez@example.com
41129,King,North Bend,98045,2014,FORD,C-MAX,19,5.0,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,noham.thomas@example.com
41130,Kitsap,Bremerton,98311,2018,CHEVROLET,BOLT EV,238,23.0,POINT (-122.6462 47.63132),PUGET SOUND ENERGY INC,BEV,Y,Mid,dolores.gallardo@example.com
41133,Snohomish,Lynnwood,98036,2016,FORD,FUSION,19,32.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,PHEV,N,Low,eino.hautala@example.com
41137,King,Bellevue,98005,2022,JEEP,WRANGLER,21,41.0,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,emmi.kyllo@example.com
41146,Benton,Kennewick,99337,2013,SMART,FORTWO ELECTRIC DRIVE,68,8.0,POINT (-119.141 46.19162),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,Low,ulku.pektemek@example.com
41148,Snohomish,Everett,98208,2016,CHEVROLET,SPARK,82,44.0,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,BEV,Y,Low,nolan.kelly@example.com
41153,San Juan,Eastsound,98245,2016,VOLVO,XC90,13,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,hemang.tipparti@example.com
41159,King,Seattle,98168,2012,TOYOTA,PRIUS PLUG-IN,6,34.0,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,jael.commandeur@example.com
41165,King,Kirkland,98034,2016,FIAT,500,84,1.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,mila.jackson@example.com
41172,Mason,Shelton,98584,2018,BMW,330E,14,35.0,POINT (-123.10565 47.21248),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,N,Low,knyazhoslav.lesyuk@example.com
41176,Grant,Mattawa,99349,2020,HYUNDAI,KONA,258,13.0,POINT (-119.9 46.73777),PUD NO 2 OF GRANT COUNTY,BEV,Y,High,keith.dunn@example.com
41179,King,Seattle,98108,2019,NISSAN,LEAF,150,37.0,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,rusyavka.masoha@example.com
41181,King,Seattle,98199,2016,VOLVO,XC90,13,36.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ayat.rikardsen@example.com
41195,King,Seattle,98109,2017,BMW,I8,14,36.0,POINT (-122.346385 47.630685),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ceyhun.cetin@example.com
41196,King,Seattle,98122,2016,FIAT,500,84,37.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,hsn.kmyrn@example.com
41198,King,Seattle,98118,2015,FORD,FUSION,19,37.0,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,eemil.moilanen@example.com
41210,King,Shoreline,98133,2016,FORD,C-MAX,19,32.0,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ekapad.keshri@example.com
41212,King,Seattle,98178,2014,TESLA,MODEL S,208,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,ahmad.bischof@example.com
41214,Benton,Richland,99352,2014,FORD,FOCUS,76,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Low,radomira.zabila@example.com
41215,Whatcom,Bellingham,98226,2019,HONDA,CLARITY,47,42.0,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,mia.vincent@example.com
41220,Clark,Vancouver,98685,2020,CHRYSLER,PACIFICA,32,18.0,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,karla.christiansen@example.com
41227,King,Renton,98057,2017,FIAT,500,84,37.0,POINT (114.32466 4.17756),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,zhr.hydry@example.com
41238,Yakima,Grandview,98930,2013,CHEVROLET,VOLT,38,15.0,POINT (-119.90123 46.25606),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,PHEV,Y,Low,peppi.joki@example.com
41243,King,Bothell,98011,2020,NISSAN,LEAF,149,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,ella.christiansen@example.com
41257,Whatcom,Custer,98240,2020,AUDI,Q5 E,20,42.0,POINT (-122.64219 48.91865),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,travis.byrd@example.com
41265,King,Seattle,98178,2021,CHRYSLER,PACIFICA,32,37.0,POINT (-122.23825 47.49461),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ilidio.barbosa@example.com
41276,Pierce,University Place,98467,2012,CHEVROLET,VOLT,35,28.0,POINT (-122.53691 47.20606),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,agathe.lemoine@example.com
41285,San Juan,Lopez Island,98261,2017,AUDI,A3,16,40.0,POINT (-122.91395 48.52342),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,leta.butler@example.com
41293,Snohomish,Mukilteo,98275,2015,PORSCHE,CAYENNE,14,21.0,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,PHEV,N,Low,zolotodana.dochinec@example.com
41299,Clallam,Sequim,98382,2019,BMW,I3,126,24.0,POINT (-123.10367 48.07965),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,PHEV,Y,Mid,julien.nguyen@example.com
41316,Pierce,Tacoma,98402,2022,AUDI,Q5,22,27.0,POINT (-122.44164 47.25517),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,aw.khwty@example.com
41317,Spokane,Spokane,99208,2018,TESLA,MODEL X,238,7.0,POINT (-117.45005 47.7333),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,marie.reynolds@example.com
41319,Jefferson,Nordland,98358,2018,TESLA,MODEL S,249,24.0,POINT (-122.69107 48.05105),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,BEV,Y,Mid,antonio.arias@example.com
41322,Clark,Vancouver,98664,2013,FIAT,500,87,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,svitoyara.kotelyanskiy@example.com
41323,Pierce,Dupont,98327,2017,VOLKSWAGEN,E-GOLF,125,28.0,POINT (-122.62954 47.09583),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,francoise.aubert@example.com
41330,Pierce,University Place,98467,2015,FORD,FUSION,19,28.0,POINT (-122.53691 47.20606),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,gotthilf.radloff@example.com
41336,King,Auburn,98092,2015,FORD,C-MAX,19,47.0,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mhmd.nkwnzr@example.com
41337,Walla Walla,College Place,99324,2017,TESLA,MODEL S,210,16.0,POINT (-118.38864 46.03456),PACIFICORP,BEV,Y,Mid,tr.qsmy@example.com
41342,King,Snoqualmie,98024,2018,VOLVO,XC60,17,5.0,POINT (-121.89086 47.56812),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,zoe.castro@example.com
41344,Kitsap,Bremerton,98312,2017,FORD,FOCUS,100,35.0,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,BEV,Y,Mid,julius.korhonen@example.com
41345,King,Lake Forest Park,98155,2016,VOLKSWAGEN,E-GOLF,83,46.0,POINT (-122.31327 47.75736),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,rusyavka.masoha@example.com
41349,Spokane,Liberty Lake,99019,2016,FORD,FUSION,19,4.0,POINT (-117.1015 47.66829),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,ulku.keseroglu@example.com
41352,Pierce,Lakewood,98498,2013,SMART,FORTWO ELECTRIC DRIVE,68,28.0,POINT (-122.54795 47.17997),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,gzl.kmyrn@example.com
41353,King,Seattle,98117,2015,KIA,SOUL,93,36.0,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,ilja.bertsch@example.com
41359,Pierce,Fox Island,98333,2021,AUDI,E-TRON,222,26.0,POINT (-122.65107 47.27375),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,rudana.zaliznyak@example.com
41361,King,Renton,98057,2022,KIA,SORENTO,32,37.0,POINT (114.32466 4.17756),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,pooja.saldanha@example.com
41370,King,Issaquah,98027,2021,BMW,330E,20,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,lester.reid@example.com
41371,King,Normandy Park,98166,2021,BMW,330E,20,33.0,POINT (-122.34118 47.46665),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,swgnd.sdr@example.com
41375,Thurston,Yelm,98597,2019,TESLA,MODEL 3,220,20.0,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,BEV,Y,Mid,dharmesh.vernekar@example.com
41380,Snohomish,Lynnwood,98036,2015,FORD,C-MAX,19,32.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,PHEV,N,Low,emma.patel@example.com
41384,Grays Harbor,Ocean Shores,98569,2015,TESLA,MODEL S,208,24.0,POINT (-124.16408 47.01156),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,BEV,Y,Mid,toivo.mikkola@example.com
41408,King,Issaquah,98029,2020,TESLA,MODEL 3,322,41.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,ray.black@example.com
41411,King,Seattle,98106,2018,KIA,OPTIMA,29,34.0,POINT (-122.35186 47.54286),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,rachel.joly@example.com
41416,Spokane,Mead,99021,2012,CHEVROLET,VOLT,35,4.0,POINT (-117.35586 47.7628),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,dario.zavala@example.com
41428,Snohomish,Marysville,98270,2017,FORD,C-MAX,20,38.0,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,PHEV,N,Low,vilenina.starovoyt@example.com
41438,Clallam,Port Angeles,98362,2016,FORD,C-MAX,19,24.0,POINT (-123.4313 48.11872),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,PHEV,N,Low,jesus.archuleta@example.com
41439,Snohomish,Bothell,98012,2021,PORSCHE,TAYCAN,192,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,BEV,Y,Mid,bharathy.anand@example.com
41442,Kitsap,Seabeck,98380,2015,TESLA,MODEL S,208,35.0,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,BEV,Y,Mid,nyysh.hsyny@example.com
41459,Clark,Vancouver,98686,2021,MINI,HARDTOP,110,49.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,begum.ozkara@example.com
41469,King,Seattle,98105,2014,TESLA,MODEL S,208,46.0,POINT (-122.31307 47.66127),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,jimmy.griffin@example.com
41471,King,Enumclaw,98022,2017,VOLVO,XC90,14,5.0,POINT (-121.99136 47.20433),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,pier.wekema@example.com
41477,Clark,Washougal,98671,2012,NISSAN,LEAF,73,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,aw.mwswy@example.com
41481,Benton,Kennewick,99337,2017,CHEVROLET,VOLT,53,16.0,POINT (-119.141 46.19162),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,Y,Low,roberto.guerrero@example.com
41490,Skagit,Bow,98232,2014,FORD,C-MAX,19,40.0,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,PHEV,N,Low,katarina.simic@example.com
41496,Kitsap,Poulsbo,98370,2018,TESLA,MODEL X,238,23.0,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,BEV,Y,Mid,adriano.dumont@example.com
41507,King,Bellevue,98027,2016,FIAT,500,84,41.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,peetu.lahti@example.com
41509,King,Lake Forest Park,98155,2015,BMW,I3,72,46.0,POINT (-122.31327 47.75736),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,adem.atan@example.com
41511,Snohomish,Bothell,98012,2022,JEEP,WRANGLER,22,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,N,Low,thea.hansen@example.com
41527,Whitman,Pullman,99163,2019,NISSAN,LEAF,150,9.0,POINT (-117.18147 46.73015),AVISTA CORP,BEV,Y,Mid,ranbir.babu@example.com
41533,Grant,Ephrata,98823,2020,CHRYSLER,PACIFICA,32,13.0,POINT (-119.55125 47.31867),PUD NO 2 OF GRANT COUNTY,PHEV,Y,Low,mestan.balaban@example.com
41534,King,Seattle,98122,2018,HONDA,CLARITY,47,43.0,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,urte.mykland@example.com
41545,Island,Camano Island,98282,2019,VOLKSWAGEN,E-GOLF,125,10.0,POINT (-122.40049 48.23986),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,BEV,Y,Mid,zdravko.loth@example.com
41547,Chelan,Wenatchee,98801,2019,TESLA,MODEL S,270,12.0,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,BEV,Y,High,ceylan.yilmazer@example.com
41548,Benton,Prosser,99350,2017,FORD,FUSION,21,16.0,POINT (-119.76877 46.20645),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,arthur.evans@example.com
41551,Grant,Moses Lake,98837,2019,FORD,FUSION,26,13.0,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,PHEV,N,Low,eleanor.taylor@example.com
41553,King,Vashon,98070,2022,BMW,X5,30,34.0,POINT (-122.4573 47.44929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,akseli.manni@example.com
41555,King,Lake Forest Park,98155,2019,CHEVROLET,BOLT EV,238,46.0,POINT (-122.31327 47.75736),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,cathy.torres@example.com
41567,Thurston,Olympia,98516,2019,CHEVROLET,BOLT EV,238,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,BEV,Y,Mid,ozsu.velioglu@example.com
41586,Clark,Brush Prairie,98606,2015,FORD,C-MAX,19,17.0,POINT (-122.54578 45.73473),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,lucas.caron@example.com
41594,Clark,Vancouver,98662,2018,TOYOTA,PRIUS PRIME,25,17.0,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,annabelle.cooper@example.com
41608,Pierce,Puyallup,98375,2020,TESLA,MODEL 3,266,2.0,POINT (-122.30116 47.1165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,BEV,Y,High,zoe.lefebvre@example.com
41611,Pierce,Lakewood,98498,2022,BMW,X5,30,28.0,POINT (-122.54795 47.17997),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,maxime.arnaud@example.com
41613,Pierce,South Hill,98374,2016,BMW,I3,72,25.0,POINT (-122.28449 47.146),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,suzy.ryan@example.com
41615,King,Maple Valley,98038,2016,BMW,I3,72,5.0,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,celio.martins@example.com
41627,Snohomish,Snohomish,98290,2020,TESLA,MODEL X,289,39.0,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,BEV,Y,High,walter.hamilton@example.com
41635,Yakima,Yakima,98908,2022,VOLVO,XC90,18,14.0,POINT (-120.56916 46.58514),PACIFICORP,PHEV,N,Low,alolika.padmanabha@example.com
41641,King,Seattle,98108,2021,VOLVO,XC90,18,11.0,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,aramis.desouza@example.com
41643,Benton,Richland,99352,2013,TESLA,MODEL S,208,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Mid,jorge.nieto@example.com
41650,Snohomish,Woodinville,98077,2016,TESLA,MODEL X,200,1.0,POINT (-122.07479 47.75264),PUGET SOUND ENERGY INC,BEV,Y,Mid,caroline.rasmussen@example.com
