,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
12003,Kitsap,Suquamish,98392,2018,CHEVROLET,BOLT EV,238,23.0,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,BEV,Y,Mid,andrea.murray@example.com,andrea.murray@example.com,female,49
12004,Thurston,Lacey,98503,2017,FIAT,500,84,22.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,BEV,Y,Low,jarle.utheim@example.com,jarle.utheim@example.com,male,61
12005,Snohomish,Snohomish,98296,2014,FIAT,500,87,1.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,BEV,Y,Low,timoteo.delgado@example.com,timoteo.delgado@example.com,male,71
12006,Chelan,Leavenworth,98826,2016,TESLA,MODEL S,210,12.0,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,gabin.gauthier@example.com,gabin.gauthier@example.com,male,49
12007,Spokane,Nine Mile Falls,99026,2014,CHEVROLET,VOLT,38,7.0,POINT (-117.54392 47.77676),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,akshatha.kaur@example.com,akshatha.kaur@example.com,female,28
12008,Pierce,South Hill,98374,2013,CHEVROLET,VOLT,38,2.0,POINT (-122.28449 47.146),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,enora.fernandez@example.com,enora.fernandez@example.com,female,44
12009,Pierce,South Hill,98375,2019,AUDI,E-TRON,204,2.0,POINT (-122.30116 47.1165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,BEV,Y,Mid,taylan.kleijne@example.com,taylan.kleijne@example.com,male,75
12010,Spokane,Spokane,99203,2019,NISSAN,LEAF,150,3.0,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,daniel.lo@example.com,daniel.lo@example.com,male,75
12011,Chelan,Wenatchee,98801,2020,NISSAN,LEAF,149,12.0,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,eva.lowe@example.com,eva.lowe@example.com,female,37
12012,King,Issaquah,98029,2017,CHEVROLET,VOLT,53,41.0,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,nihal.kurutluoglu@example.com,nihal.kurutluoglu@example.com,male,29
12013,Clark,Vancouver,98685,2020,LAND ROVER,RANGE ROVER,19,18.0,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,hendericus.lammerink@example.com,hendericus.lammerink@example.com,male,26
12014,Pierce,Bonney Lake,98391,2018,BMW,530E,14,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,emilia.rubio@example.com,emilia.rubio@example.com,female,38
12015,Kittitas,Cle Elum,98922,2017,BMW,I3,97,13.0,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,PHEV,Y,Low,dioclecio.porto@example.com,dioclecio.porto@example.com,male,51
12016,Pierce,Puyallup,98372,2019,KIA,NIRO,239,25.0,POINT (-122.28556 47.18709),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,marita.ekrem@example.com,marita.ekrem@example.com,female,73
12017,Kitsap,Indianola,98342,2020,NISSAN,LEAF,215,23.0,POINT (-122.51843 47.7487),PUGET SOUND ENERGY INC,BEV,Y,Mid,saisha.chiplunkar@example.com,saisha.chiplunkar@example.com,female,30
12018,Pierce,Tacoma,98445,2017,AUDI,A3,16,29.0,POINT (-122.41894 47.15806),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,PHEV,N,Low,sebastian.petersen@example.com,sebastian.petersen@example.com,male,52
12019,Snohomish,Edmonds,98026,2022,KIA,SORENTO,32,32.0,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,PHEV,Y,Low,kylie.schmidt@example.com,kylie.schmidt@example.com,female,69
12020,Island,Oak Harbor,98277,2016,BMW,I3,72,10.0,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,PHEV,Y,Low,kamil.sortland@example.com,kamil.sortland@example.com,male,48
12021,Lewis,Chehalis,98532,2013,FORD,C-MAX,19,20.0,POINT (-122.96462 46.6621),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,suse.schorr@example.com,suse.schorr@example.com,female,62
12022,Franklin,Pasco,99301,2023,KIA,SPORTAGE,34,16.0,POINT (-119.09467 46.23542),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,PHEV,Y,Low,tihomir.vucetic@example.com,tihomir.vucetic@example.com,male,34
12023,Thurston,Olympia,98512,2017,FIAT,500,84,35.0,POINT (-122.92057 47.0031),PUGET SOUND ENERGY INC,BEV,Y,Low,andreo.araujo@example.com,andreo.araujo@example.com,male,47
12024,Pierce,Eatonville,98328,2019,TESLA,MODEL 3,220,2.0,POINT (-122.26832 46.86733),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||BENTON RURAL ELECTRIC ASSN|PENINSULA LIGHT COMPANY,BEV,Y,Mid,aleksej.tasic@example.com,aleksej.tasic@example.com,male,73
12025,King,Bellevue,98027,2019,NISSAN,LEAF,150,41.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,peetu.saarinen@example.com,peetu.saarinen@example.com,male,63
12026,Kittitas,Easton,98925,2019,VOLKSWAGEN,E-GOLF,125,13.0,POINT (-121.17954 47.2378),PUGET SOUND ENERGY INC,BEV,Y,Mid,leif.rognli@example.com,leif.rognli@example.com,male,48
12027,Pierce,Auburn,98092,2022,VOLVO,XC60,35,31.0,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,samuel.parra@example.com,samuel.parra@example.com,male,67
12028,King,Kirkland,98034,2016,BMW,I8,14,1.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mayra.sheikh@example.com,mayra.sheikh@example.com,female,42
12029,Snohomish,Lynnwood,98087,2013,SMART,FORTWO ELECTRIC DRIVE,68,21.0,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,BEV,Y,Low,kenan.aydan@example.com,kenan.aydan@example.com,male,24
12030,King,Seattle,98118,2021,BMW,X5,30,37.0,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,konsta.koistinen@example.com,konsta.koistinen@example.com,male,76
12031,Whatcom,Bellingham,98225,2022,AUDI,Q5,23,42.0,POINT (-122.47122 48.75235),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,rose.brown@example.com,rose.brown@example.com,female,44
12032,Skagit,Mount Vernon,98274,2021,POLESTAR,PS2,233,10.0,POINT (-122.32267 48.41626),PUGET SOUND ENERGY INC,BEV,Y,Mid,ceyhan.sinanoglu@example.com,ceyhan.sinanoglu@example.com,female,48
12033,Spokane,Spangle,99031,2015,CHEVROLET,VOLT,38,9.0,POINT (-117.38035 47.42909),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,marijana.nederpel@example.com,marijana.nederpel@example.com,female,57
12034,Clark,Washougal,98671,2019,NISSAN,LEAF,150,18.0,POINT (-122.35341 45.57923),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,isla.davies@example.com,isla.davies@example.com,female,58
12035,Snohomish,Lake Stevens,98258,2016,FORD,FUSION,19,39.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,PHEV,N,Low,kais.adam@example.com,kais.adam@example.com,male,24
12036,Pierce,Puyallup,98371,2022,VOLVO,XC60,35,25.0,POINT (-122.29537 47.19044),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,hema.jain@example.com,hema.jain@example.com,female,30
12037,Benton,Kennewick,99338,2015,NISSAN,LEAF,84,16.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,Low,ana.rodriguez@example.com,ana.rodriguez@example.com,female,39
12038,Kittitas,Cle Elum,98922,2017,FORD,C-MAX,20,13.0,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,PHEV,N,Low,klauspeter.beermann@example.com,klauspeter.beermann@example.com,male,55
12039,King,Bellevue,98004,2021,LINCOLN,AVIATOR,21,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,johnny.holt@example.com,johnny.holt@example.com,male,43
12040,Pierce,Tacoma,98403,2019,NISSAN,LEAF,150,27.0,POINT (-122.45691 47.26496),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,rosemary.hernandez@example.com,rosemary.hernandez@example.com,female,57
12041,Pierce,Bonney Lake,98391,2017,FORD,C-MAX,20,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ahmad.dasilva@example.com,ahmad.dasilva@example.com,male,69
12042,Thurston,Olympia,98502,2013,TOYOTA,PRIUS PLUG-IN,6,22.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,PHEV,N,Low,christie.vanmoorselaar@example.com,christie.vanmoorselaar@example.com,female,56
12043,Snohomish,Lynnwood,98036,2019,TESLA,MODEL X,289,1.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,BEV,Y,High,alfredo.santiago@example.com,alfredo.santiago@example.com,male,38
12044,King,Redmond,98052,2018,FIAT,500,84,48.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,alexis.roy@example.com,alexis.roy@example.com,male,37
12045,Skagit,Anacortes,98221,2013,FIAT,500,87,40.0,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,BEV,Y,Low,jonas.gamez@example.com,jonas.gamez@example.com,male,49
12046,Clark,Camas,98607,2017,SMART,FORTWO,58,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Low,swathi.kumari@example.com,swathi.kumari@example.com,female,37
12047,Skagit,La Conner,98257,2019,TESLA,MODEL X,289,10.0,POINT (-122.49724 48.38874),PUGET SOUND ENERGY INC,BEV,Y,High,afsar.nebioglu@example.com,afsar.nebioglu@example.com,female,66
12048,King,Kirkland,98033,2019,FORD,FUSION,26,48.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,gabino.pizarro@example.com,gabino.pizarro@example.com,male,35
12049,Snohomish,Snohomish,98296,2021,TOYOTA,RAV4 PRIME,42,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,PHEV,Y,Low,fabio.simon@example.com,fabio.simon@example.com,male,28
12050,Clark,Vancouver,98662,2021,POLESTAR,PS2,233,17.0,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,Mid,nina.lee@example.com,nina.lee@example.com,female,41
12051,Snohomish,Stanwood,98292,2015,NISSAN,LEAF,84,10.0,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,BEV,Y,Low,bhuv.saniel@example.com,bhuv.saniel@example.com,male,41
12052,Benton,Kennewick,99336,2012,MITSUBISHI,I-MIEV,62,8.0,POINT (-119.11698 46.20804),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,BEV,Y,Low,ingetraud.scheller@example.com,ingetraud.scheller@example.com,female,77
12053,King,Issaquah,98027,2019,VOLVO,XC60,17,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,orhun.krijnen@example.com,orhun.krijnen@example.com,male,33
12054,Snohomish,Marysville,98271,2013,NISSAN,LEAF,75,10.0,POINT (-122.19388 48.15353),PUGET SOUND ENERGY INC,BEV,Y,Low,antonella.lefebvre@example.com,antonella.lefebvre@example.com,female,67
12055,Clark,Vancouver,98665,2021,HYUNDAI,IONIQ,29,49.0,POINT (-122.64443 45.67871),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,alvin.sims@example.com,alvin.sims@example.com,male,35
12056,Spokane,Spokane Valley,99016,2014,BMW,I3,72,4.0,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,noah.thomsen@example.com,noah.thomsen@example.com,male,55
12057,King,Yarrow Point,98004,2019,PORSCHE,CAYENNE,13,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,connor.dean@example.com,connor.dean@example.com,male,51
12058,Snohomish,Lake Stevens,98258,2019,CHEVROLET,VOLT,53,44.0,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,PHEV,Y,Low,gul.oymen@example.com,gul.oymen@example.com,female,33
12059,King,Kirkland,98034,2017,FORD,FUSION,21,1.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,svetozar.stepanovic@example.com,svetozar.stepanovic@example.com,male,76
12060,King,Ravensdale,98038,2015,FORD,C-MAX,19,5.0,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,cassandra.damota@example.com,cassandra.damota@example.com,female,64
12061,King,Issaquah,98027,2018,BMW,X5,13,41.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,becky.mckinney@example.com,becky.mckinney@example.com,female,35
12062,King,Auburn,98001,2018,CHEVROLET,VOLT,53,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,amber.brewer@example.com,amber.brewer@example.com,female,29
12063,King,Seattle,98106,2022,VOLVO,XC90,35,34.0,POINT (-122.35186 47.54286),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,emmi.maki@example.com,emmi.maki@example.com,female,53
12064,Okanogan,Oroville,98844,2017,BMW,I3,81,7.0,POINT (-119.43558 48.93881),PUD NO 1 OF OKANOGAN COUNTY,BEV,Y,Low,clara.hansen@example.com,clara.hansen@example.com,female,60
12065,Grant,Ephrata,98823,2018,FORD,FUSION,21,13.0,POINT (-119.55125 47.31867),PUD NO 2 OF GRANT COUNTY,PHEV,N,Low,katarina.simonovic@example.com,katarina.simonovic@example.com,female,38
12066,Pierce,Tacoma,98422,2018,BMW,530E,16,27.0,POINT (-122.41666 47.30682),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,cory.flores@example.com,cory.flores@example.com,male,33
12067,King,Renton,98059,2022,HYUNDAI,SANTA FE,31,11.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,ary.sdr@example.com,ary.sdr@example.com,male,38
12068,Yakima,Union Gap,98903,2019,PORSCHE,CAYENNE,13,15.0,POINT (-120.47794 46.55282),PACIFICORP,PHEV,N,Low,sturla.dinh@example.com,sturla.dinh@example.com,male,39
12069,Snohomish,Mill Creek,98012,2018,MINI,COUNTRYMAN,12,44.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,N,Low,kathy.campbell@example.com,kathy.campbell@example.com,female,35
12070,Clark,Ridgefield,98642,2017,TOYOTA,PRIUS PRIME,25,17.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,adryn.zraay@example.com,adryn.zraay@example.com,female,76
12071,Clark,Ridgefield,98642,2017,TOYOTA,PRIUS PRIME,25,17.0,POINT (-122.74595 45.81539),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,adryn.zraay@example.com,adryn.zraay@example.com,female,21
12072,King,Seattle,98136,2018,FORD,FUSION,21,34.0,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,zachary.fortin@example.com,zachary.fortin@example.com,male,26
12073,King,Seattle,98101,2021,TOYOTA,RAV4 PRIME,42,43.0,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,melike.ozkara@example.com,melike.ozkara@example.com,female,78
12074,Whatcom,Blaine,98230,2016,CADILLAC,ELR,36,42.0,POINT (-122.74888 48.99404),CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,shyl.khrymy@example.com,shyl.khrymy@example.com,male,26
12075,Spokane,Liberty Lake,99019,2017,BMW,330E,14,4.0,POINT (-117.1015 47.66829),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,andrea.johansen@example.com,andrea.johansen@example.com,female,42
12076,Thurston,Olympia,98513,2012,CHEVROLET,VOLT,35,22.0,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,PHEV,Y,Low,vladan.pistalo@example.com,vladan.pistalo@example.com,male,39
12077,King,Seattle,98104,2014,FORD,C-MAX,19,43.0,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,yash.bhoja@example.com,yash.bhoja@example.com,male,47
12078,King,Seattle,98104,2014,FORD,C-MAX,19,43.0,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,yash.bhoja@example.com,yash.bhoja@example.com,male,26
12079,Snohomish,Mountlake Terrace,98043,2020,TESLA,MODEL S,337,32.0,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,BEV,Y,High,aarush.mendonsa@example.com,aarush.mendonsa@example.com,male,56
12080,Pierce,Fox Island,98333,2019,FORD,FUSION,26,26.0,POINT (-122.65107 47.27375),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,nezabudka.zheliborskiy@example.com,nezabudka.zheliborskiy@example.com,female,57
12081,Clark,Vancouver,98686,2021,JEEP,WRANGLER,25,49.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,nelly.murillo@example.com,nelly.murillo@example.com,male,76
12082,Snohomish,Snohomish,98296,2012,TOYOTA,PRIUS PLUG-IN,6,44.0,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,PHEV,N,Low,jan-peter.pollak@example.com,jan-peter.pollak@example.com,male,24
12083,San Juan,Orcas Is,98245,2014,CHEVROLET,VOLT,38,40.0,POINT (-122.91109 48.69389),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,Y,Low,karen.wheeler@example.com,karen.wheeler@example.com,female,46
12084,Pacific,Ocean Park,98640,2022,KIA,NIRO,26,19.0,POINT (-124.0495 46.49147),BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,PHEV,N,Low,maik.francois@example.com,maik.francois@example.com,male,38
12085,Island,Freeland,98249,2017,BMW,I3,97,10.0,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,PHEV,Y,Low,albane.mercier@example.com,albane.mercier@example.com,female,45
12086,Skagit,Rockport,98283,2022,JEEP,WRANGLER,21,39.0,POINT (-121.59274 48.48758),PUGET SOUND ENERGY INC,PHEV,N,Low,melike.ozkara@example.com,melike.ozkara@example.com,female,78
12087,King,Seattle,98118,2017,TESLA,MODEL S,210,37.0,POINT (-122.2668 47.55115),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,miro.leroux@example.com,miro.leroux@example.com,male,65
12088,Whatcom,Everson,98247,2012,CHEVROLET,VOLT,35,42.0,POINT (-122.34536 48.92009),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,aalyrd.rdyyn@example.com,aalyrd.rdyyn@example.com,male,48
12089,Whatcom,Everson,98247,2012,CHEVROLET,VOLT,35,42.0,POINT (-122.34536 48.92009),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,Y,Low,aalyrd.rdyyn@example.com,aalyrd.rdyyn@example.com,male,75
12090,Clark,La Center,98629,2015,CHEVROLET,VOLT,38,18.0,POINT (-122.67244 45.86161),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,paula.morales@example.com,paula.morales@example.com,female,42
12091,King,Auburn,98001,2017,TESLA,MODEL S,210,47.0,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,viti.chavare@example.com,viti.chavare@example.com,female,36
12092,Clark,Vancouver,98684,2018,BMW,530E,14,17.0,POINT (-122.5476 45.62832),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,jeffrey.lane@example.com,jeffrey.lane@example.com,male,63
12093,Spokane,Medical Lake,99022,2018,CHEVROLET,VOLT,53,7.0,POINT (-117.68269 47.57261),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,ramin.hoang@example.com,ramin.hoang@example.com,male,77
12094,Thurston,Olympia,98503,2011,CHEVROLET,VOLT,35,2.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,PHEV,Y,Low,jayden.lavoie@example.com,jayden.lavoie@example.com,male,24
12095,Thurston,Lacey,98513,2013,NISSAN,LEAF,75,22.0,POINT (-122.80277 46.99409),PUGET SOUND ENERGY INC,BEV,Y,Low,gabino.fonseca@example.com,gabino.fonseca@example.com,male,38
12096,Snohomish,Mill Creek,98012,2021,AUDI,Q5 E,18,44.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,N,Low,sara.burton@example.com,sara.burton@example.com,female,66
12097,Mason,Allyn,98524,2020,TESLA,MODEL 3,322,35.0,POINT (-122.82983 47.38174),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,BEV,Y,High,joop.withaar@example.com,joop.withaar@example.com,male,35
12098,Snohomish,Bothell,98012,2020,HYUNDAI,KONA,258,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,BEV,Y,High,joseph.baker@example.com,joseph.baker@example.com,male,22
12099,Kittitas,Ellensburg,98926,2018,KIA,NIRO,26,13.0,POINT (-120.54872 46.99703),BONNEVILLE POWER ADMINISTRATION||CITY OF ELLENSBURG - (WA),PHEV,N,Low,isabella.ennis@example.com,isabella.ennis@example.com,female,34
12100,Pierce,Gig Harbor,98329,2020,TESLA,MODEL 3,308,26.0,POINT (-122.72457 47.38165),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,High,eckehard.bohler@example.com,eckehard.bohler@example.com,male,60
12101,King,Sammamish,98053,2020,TOYOTA,PRIUS PRIME,25,45.0,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,milja.koivisto@example.com,milja.koivisto@example.com,female,66
12102,Pierce,Orting,98360,2017,CHEVROLET,BOLT EV,238,31.0,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,florence.anderson@example.com,florence.anderson@example.com,female,54
12103,Snohomish,Gold Bar,98251,2018,MITSUBISHI,OUTLANDER,22,39.0,POINT (-121.69743 47.85565),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,PHEV,N,Low,marie-claire.lecomte@example.com,marie-claire.lecomte@example.com,female,73
12104,Snohomish,Bothell,98012,2022,TOYOTA,RAV4 PRIME,42,44.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,PHEV,Y,Low,tony.graves@example.com,tony.graves@example.com,male,39
12105,King,Seattle,98121,2018,TOYOTA,PRIUS PRIME,25,43.0,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,maricilda.dacruz@example.com,maricilda.dacruz@example.com,female,75
12106,King,Sammamish,98074,2020,AUDI,E-TRON SPORTBACK,218,45.0,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,josh.carter@example.com,josh.carter@example.com,male,69
12107,Pierce,Graham,98338,2020,TESLA,MODEL 3,308,2.0,POINT (-122.29477 47.05703),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,melvin.collins@example.com,melvin.collins@example.com,male,47
12108,King,Seattle,98178,2018,BMW,I3,97,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,lidia.crespo@example.com,lidia.crespo@example.com,female,38
12109,Pierce,Tacoma,98466,2016,FORD,FUSION,19,28.0,POINT (-122.5338 47.23594),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,neil.wood@example.com,neil.wood@example.com,male,78
12110,Pierce,Lakewood,98499,2014,FORD,FUSION,19,28.0,POINT (-122.51495 47.16195),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,PHEV,N,Low,christina.berry@example.com,christina.berry@example.com,female,77
12111,Pierce,Gig Harbor,98332,2019,JAGUAR,I-PACE,234,26.0,POINT (-122.60302 47.36223),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,nana.prent@example.com,nana.prent@example.com,female,72
12112,King,Seattle,98115,2015,CHEVROLET,SPARK,82,43.0,POINT (-122.31765 47.70013),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,licidas.costa@example.com,licidas.costa@example.com,male,67
12113,Thurston,Bucoda,98530,2013,NISSAN,LEAF,75,20.0,POINT (27.25316 67.01865),PUGET SOUND ENERGY INC,BEV,Y,Low,davino.barros@example.com,davino.barros@example.com,male,24
12114,Pierce,Graham,98338,2022,KIA,NIRO,26,28.0,POINT (-122.29477 47.05703),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,violet.webb@example.com,violet.webb@example.com,female,73
12115,King,Federal Way,98023,2022,HYUNDAI,SANTA FE,31,30.0,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,miguel.miranda@example.com,miguel.miranda@example.com,male,55
